city,country,lat,lng,date,temp,humidity,cloudiness,wind_speed
Riyadh,SA,24.69,46.72,1583821151,66.2,42,0,2.24
Vao,NC,-22.67,167.48,1583821189,80.44,70,0,13.76
Laizhou,CN,37.18,119.93,1583821189,46.24,25,0,21.09
Coquimbo,CL,-29.95,-71.34,1583821189,60.8,93,90,8.68
Darhan,MN,49.49,105.92,1583821189,22.48,78,66,10.02
Puerto Escondido,MX,15.85,-97.07,1583821189,71.8,65,0,3.98
Portland,US,45.52,-122.68,1583821009,38.75,70,1,3.36
Egvekinot,RU,66.32,-179.17,1583821189,-20.0,100,99,4.07
Sitka,US,57.05,-135.33,1583821189,36.63,94,90,13.87
Havre-St-Pierre,CA,50.23,-63.6,1583821190,3.2,38,90,6.93
Port Lincoln,AU,-34.73,135.87,1583821190,74.68,44,0,8.95
Port Elizabeth,ZA,-33.92,25.57,1583821190,66.2,100,75,5.82
Santana do Livramento,BR,-30.89,-55.53,1583821190,66.94,87,0,5.86
George Town,MY,5.41,100.34,1583821108,91.54,63,20,8.05
Nanchang,CN,28.68,115.88,1583821111,62.8,53,87,5.77
Kotlas,RU,61.26,46.66,1583821190,32.02,92,90,8.05
Flin Flon,CA,54.77,-101.86,1583821191,-4.34,96,42,5.32
Lavrentiya,RU,65.58,-171.0,1583821191,-12.8,98,27,5.68
Cururupu,BR,-1.83,-44.87,1583821191,71.26,99,100,1.63
Nantucket,US,41.28,-70.1,1583821141,46.0,87,1,12.75
Bowen,AU,-20.02,148.23,1583821024,79.75,78,90,13.87
Aykhal,RU,66.0,111.5,1583821191,-18.4,68,99,6.71
Vilhena,BR,-12.74,-60.15,1583820989,70.36,91,54,1.14
Bintulu,MY,3.17,113.03,1583821192,86.0,79,75,5.82
Marquette,US,46.53,-87.63,1583821192,23.05,85,90,14.99
La Maddalena,IT,41.21,9.41,1583821192,32.0,76,25,1.12
Saint-Philippe,RE,-21.36,55.77,1583821192,82.99,62,35,13.87
Povarovo,RU,56.07,37.05,1583821192,40.15,93,75,8.95
